,Title,Authors,Page numbers,DOI,Year of publication
122,Improving Pneumonia Localization via Cross-Attention on Medical Images and Reports,"Riddhish Bhalodia, Ali Hatamizadeh, Leo Tam, Ziyue Xu, Xiaosong Wang, Evrim Turkbey et al.",571-581,/chapter/10.1007/978-3-030-87196-3_53,2021
123,Combining Attention-Based Multiple Instance Learning and Gaussian Processes for CT Hemorrhage Detection,"Yunan Wu, Arne Schmidt, Enrique HernÃ¡ndez-SÃ¡nchez, Rafael Molina, Aggelos K. Katsaggelos",582-591,/chapter/10.1007/978-3-030-87196-3_54,2021
124,CPNet: Cycle Prototype Network for Weakly-Supervised 3D Renal Compartments Segmentation on CT Images,"Song Wang, Yuting He, Youyong Kong, Xiaomei Zhu, Shaobo Zhang, Pengfei Shao et al.",592-602,/chapter/10.1007/978-3-030-87196-3_55,2021
125,Observational Supervision for Medical Image Classification Using Gaze Data,"Khaled Saab, Sarah M. Hooper, Nimit S. Sohoni, Jupinder Parmar, Brian Pogatchnik, Sen Wu et al.",603-614,/chapter/10.1007/978-3-030-87196-3_56,2021
126,Inter Extreme Points Geodesics for End-to-End Weakly Supervised Image Segmentation,"Reuben Dorent, Samuel Joutard, Jonathan Shapey, Aaron Kujawa, Marc Modat, SÃ©bastien Ourselin et al.",615-624,/chapter/10.1007/978-3-030-87196-3_57,2021
127,Efficient and Generic Interactive Segmentation Framework to Correct Mispredictions During Clinical Evaluation of Medical Images,"Bhavani Sambaturu, Ashutosh Gupta, C. V. Jawahar, Chetan Arora",625-635,/chapter/10.1007/978-3-030-87196-3_58,2021
128,Learning Whole-Slide Segmentation from Inexact and Incomplete Labels Using Tissue Graphs,"Valentin Anklin, Pushpak Pati, Guillaume Jaume, Behzad Bozorgtabar, Antonio Foncubierta-Rodriguez, Jean-Philippe Thiran et al.",636-646,/chapter/10.1007/978-3-030-87196-3_59,2021
129,Label-Set Loss Functions for Partial Supervision: Application to Fetal Brain 3D MRI Parcellation,"Lucas Fidon, Michael Aertsen, Doaa Emam, Nada Mufti, FrÃ©dÃ©ric Guffens, Thomas Deprest et al.",647-657,/chapter/10.1007/978-3-030-87196-3_60,2021
130,Towards Robust General Medical Image Segmentation,"Laura Daza, Juan C. PÃ©rez, Pablo ArbelÃ¡ez",3-13,/chapter/10.1007/978-3-030-87199-4_1,2021
131,Joint Motion Correction and Super Resolution for Cardiac Segmentation via Latent Optimisation,"Shuo Wang, Chen Qin, NicolÃ² Savioli, Chen Chen, Declan P. Oâ€™Regan, Stuart Cook et al.",14-24,/chapter/10.1007/978-3-030-87199-4_2,2021
132,Targeted Gradient Descent: A Novel Method for Convolutional Neural Networks Fine-Tuning and Online-Learning,"Junyu Chen, Evren Asma, Chung Chan",25-35,/chapter/10.1007/978-3-030-87199-4_3,2021
133,A Hierarchical Feature Constraint to Camouflage Medical Adversarial Attacks,"Qingsong Yao, Zecheng He, Yi Lin, Kai Ma, Yefeng Zheng, S. Kevin Zhou",36-47,/chapter/10.1007/978-3-030-87199-4_4,2021
134,Group Shift Pointwise Convolution for Volumetric Medical Image Segmentation,"Junjun He, Jin Ye, Cheng Li, Diping Song, Wanli Chen, Shanshan Wang et al.",48-58,/chapter/10.1007/978-3-030-87199-4_5,2021
135,UTNet: A Hybrid Transformer Architecture for Medical Image Segmentation,"Yunhe Gao, Mu Zhou, Dimitris N. Metaxas",61-71,/chapter/10.1007/978-3-030-87199-4_6,2021
136,AlignTransformer: Hierarchical Alignment of Visual Regions and Disease Tags for Medical Report Generation,"Di You, Fenglin Liu, Shen Ge, Xiaoxia Xie, Jing Zhang, Xian Wu",72-82,/chapter/10.1007/978-3-030-87199-4_7,2021
137,Continuous-Time Deep Glioma Growth Models,"Jens Petersen, Fabian Isensee, Gregor KÃ¶hler, Paul F. JÃ¤ger, David Zimmerer, Ulf Neuberger et al.",83-92,/chapter/10.1007/978-3-030-87199-4_8,2021
138,Spine-Transformers: Vertebra Detection and Localization in Arbitrary Field-of-View Spine CT with Transformers,"Rong Tao, Guoyan Zheng",93-103,/chapter/10.1007/978-3-030-87199-4_9,2021
139,Multi-view Analysis of Unregistered Medical Images Using Cross-View Transformers,"Gijs van Tulder, Yao Tong, Elena Marchiori",104-113,/chapter/10.1007/978-3-030-87199-4_10,2021
140,Stain Mix-Up: Unsupervised Domain Generalization for Histopathology Images,"Jia-Ren Chang, Min-Sheng Wu, Wei-Hsiang Yu, Chi-Chung Chen, Cheng-Kung Yang, Yen-Yu Lin et al.",117-126,/chapter/10.1007/978-3-030-87199-4_11,2021
141,A Unified Hyper-GAN Model for Unpaired Multi-contrast MR Image Translation,"Heran Yang, Jian Sun, Liwei Yang, Zongben Xu",127-137,/chapter/10.1007/978-3-030-87199-4_12,2021
142,Generative Self-training for Cross-Domain Unsupervised Tagged-to-Cine MRI Synthesis,"Xiaofeng Liu, Fangxu Xing, Maureen Stone, Jiachen Zhuo, Timothy Reese, Jerry L. Prince et al.",138-148,/chapter/10.1007/978-3-030-87199-4_13,2021
143,Cooperative Training and Latent Space Data Augmentation for Robust Medical Image Segmentation,"Chen Chen, Kerstin Hammernik, Cheng Ouyang, Chen Qin, Wenjia Bai, Daniel Rueckert",149-159,/chapter/10.1007/978-3-030-87199-4_14,2021
144,Controllable Cardiac Synthesis via Disentangled Anatomy Arithmetic,"Spyridon Thermos, Xiao Liu, Alison Oâ€™Neil, Sotirios A. Tsaftaris",160-170,/chapter/10.1007/978-3-030-87199-4_15,2021
145,CoTr: Efficiently Bridging CNN and Transformer for 3D Medical Image Segmentation,"Yutong Xie, Jianpeng Zhang, Chunhua Shen, Yong Xia",171-180,/chapter/10.1007/978-3-030-87199-4_16,2021
146,Harmonization with Flow-Based Causal Inference,"Rongguang Wang, Pratik Chaudhari, Christos Davatzikos",181-190,/chapter/10.1007/978-3-030-87199-4_17,2021
147,Uncertainty-Aware Label Rectification for Domain Adaptive Mitochondria Segmentation,"Siqi Wu, Chang Chen, Zhiwei Xiong, Xuejin Chen, Xiaoyan Sun",191-200,/chapter/10.1007/978-3-030-87199-4_18,2021
148,Semantic Consistent Unsupervised Domain Adaptation for Cross-Modality Medical Image Segmentation,"Guodong Zeng, Till D. Lerch, Florian Schmaranzer, Guoyan Zheng, JÃ¼rgen Burger, Kate Gerber et al.",201-210,/chapter/10.1007/978-3-030-87199-4_19,2021
149,Anatomy of Domain Shift Impact on U-Net Layers in MRI Segmentation,"Ivan Zakazov, Boris Shirokikh, Alexey Chernyavskiy, Mikhail Belyaev",211-220,/chapter/10.1007/978-3-030-87199-4_20,2021
150,FoldIt: Haustral Folds Detection and Segmentation in Colonoscopy Videos,"Shawn Mathew, Saad Nadeem, Arie Kaufman",221-230,/chapter/10.1007/978-3-030-87199-4_21,2021
151,Reference-Relation Guided Autoencoder with Deep CCA Restriction for Awake-to-Sleep Brain Functional Connectome Prediction,"Dan Hu, Weiyan Yin, Zhengwang Wu, Liangjun Chen, Li Wang, Weili Lin et al.",231-240,/chapter/10.1007/978-3-030-87199-4_22,2021
152,Domain Composition and Attention for Unseen-Domain Generalizable Medical Image Segmentation,"Ran Gu, Jingyang Zhang, Rui Huang, Wenhui Lei, Guotai Wang, Shaoting Zhang",241-250,/chapter/10.1007/978-3-030-87199-4_23,2021
153,Fully Test-Time Adaptation for Image Segmentation,"Minhao Hu, Tao Song, Yujun Gu, Xiangde Luo, Jieneng Chen, Yinan Chen et al.",251-260,/chapter/10.1007/978-3-030-87199-4_24,2021
154,OLVA: Optimal Latent Vector Alignment for Unsupervised Domain Adaptation in Medical Image Segmentation,"Dawood Al Chanti, Diana Mateus",261-271,/chapter/10.1007/978-3-030-87199-4_25,2021
155,Prototypical Interaction Graph for Unsupervised Domain Adaptation in Surgical Instrument Segmentation,"Jie Liu, Xiaoqing Guo, Yixuan Yuan",272-281,/chapter/10.1007/978-3-030-87199-4_26,2021
156,Unsupervised Domain Adaptation for Small Bowel Segmentation Using Disentangled Representation,"Seung Yeon Shin, Sungwon Lee, Ronald M. Summers",282-292,/chapter/10.1007/978-3-030-87199-4_27,2021
157,Data-Driven Mapping Between Functional Connectomes Using Optimal Transport,"Javid Dadashkarimi, Amin Karbasi, Dustin Scheinost",293-302,/chapter/10.1007/978-3-030-87199-4_28,2021
158,EndoUDA: A Modality Independent Segmentation Approach for Endoscopy Imaging,"Numan Celik, Sharib Ali, Soumya Gupta, Barbara Braden, Jens Rittscher",303-312,/chapter/10.1007/978-3-030-87199-4_29,2021
159,Style Transfer Using Generative Adversarial Networks for Multi-site MRI Harmonization,"Mengting Liu, Piyush Maiti, Sophia Thomopoulos, Alyssa Zhu, Yaqiong Chai, Hosung Kim et al.",313-322,/chapter/10.1007/978-3-030-87199-4_30,2021
160,Federated Semi-supervised Medical Image Classification via Inter-client Relation Matching,"Quande Liu, Hongzheng Yang, Qi Dou, Pheng-Ann Heng",325-335,/chapter/10.1007/978-3-030-87199-4_31,2021
161,FedPerl: Semi-supervised Peer Learning for Skin Lesion Classification,"Tariq Bdair, Nassir Navab, Shadi Albarqouni",336-346,/chapter/10.1007/978-3-030-87199-4_32,2021
162,Personalized Retrogress-Resilient Framework for Real-World Medical Federated Learning,"Zhen Chen, Meilu Zhu, Chen Yang, Yixuan Yuan",347-356,/chapter/10.1007/978-3-030-87199-4_33,2021
163,Federated Whole Prostate Segmentation in MRI with Personalized Neural Architectures,"Holger R. Roth, Dong Yang, Wenqi Li, Andriy Myronenko, Wentao Zhu, Ziyue Xu et al.",357-366,/chapter/10.1007/978-3-030-87199-4_34,2021
164,Federated Contrastive Learning for Volumetric Medical Image Segmentation,"Yawen Wu, Dewen Zeng, Zhepeng Wang, Yiyu Shi, Jingtong Hu",367-377,/chapter/10.1007/978-3-030-87199-4_35,2021
165,Federated Contrastive Learning for Decentralized Unlabeled Medical Images,"Nanqing Dong, Irina Voiculescu",378-387,/chapter/10.1007/978-3-030-87199-4_36,2021
166,Explaining COVID-19 and Thoracic Pathology Model Predictions by Identifying Informative Input Features,"Ashkan Khakzar, Yang Zhang, Wejdene Mansour, Yuezhi Cai, Yawei Li, Yucheng Zhang et al.",391-401,/chapter/10.1007/978-3-030-87199-4_37,2021
167,Demystifying T1-MRI to FDG $$^{18}$$ 18 -PET Image Translation via Representational Similarity,"Chia-Hsiang Kao, Yong-Sheng Chen, Li-Fen Chen, Wei-Chen Chiu",402-412,/chapter/10.1007/978-3-030-87199-4_38,2021
168,Fairness in Cardiac MR Image Analysis: An Investigation of Bias Due to Data Imbalance in Deep Learning Based Segmentation,"Esther Puyol-AntÃ³n, Bram Ruijsink, Stefan K. Piechnik, Stefan Neubauer, Steffen E. Petersen, Reza Razavi et al.",413-423,/chapter/10.1007/978-3-030-87199-4_39,2021
169,An Interpretable Approach to Automated Severity Scoring in Pelvic Trauma,"Anna Zapaishchykova, David Dreizin, Zhaoshuo Li, Jie Ying Wu, Shahrooz Faghihroohi, Mathias Unberath",424-433,/chapter/10.1007/978-3-030-87199-4_40,2021
170,"Scalable, Axiomatic Explanations of Deep Alzheimerâ€™s Diagnosis from Heterogeneous Data","Sebastian PÃ¶lsterl, Christina Aigner, Christian Wachinger",434-444,/chapter/10.1007/978-3-030-87199-4_41,2021
171,"SPARTA: An Integrated Stability, Discriminability, and Sparsity Based Radiomic Feature Selection Approach","Amir Reza Sadri, Sepideh Azarianpour Esfahani, Prathyush Chirra, Jacob Antunes, Pavithran Pattiam Giriprakash, Patrick Leo et al.",445-455,/chapter/10.1007/978-3-030-87199-4_42,2021
172,The Power of Proxy Data and Proxy Networks for Hyper-parameter Optimization in Medical Image Segmentation,"Vishwesh Nath, Dong Yang, Ali Hatamizadeh, Anas A. Abidin, Andriy Myronenko, Holger R. Roth et al.",456-465,/chapter/10.1007/978-3-030-87199-4_43,2021
173,Fighting Class Imbalance with Contrastive Learning,"Yassine Marrakchi, Osama Makansi, Thomas Brox",466-476,/chapter/10.1007/978-3-030-87199-4_44,2021
174,Interpretable Gender Classification from Retinal Fundus Images Using BagNets,"Indu Ilanchezian, Dmitry Kobak, Hanna Faber, Focke Ziemssen, Philipp Berens, Murat SeÃ§kin Ayhan",477-487,/chapter/10.1007/978-3-030-87199-4_45,2021
175,Explainable Classification of Weakly Annotated Wireless Capsule Endoscopy Images Based on a Fuzzy Bag-of-Colour Features Model and Brain Storm Optimization,"Michael Vasilakakis, Georgia Sovatzidi, Dimitris K. Iakovidis",488-498,/chapter/10.1007/978-3-030-87199-4_46,2021
176,Towards Semantic Interpretation of Thoracic Disease and COVID-19 Diagnosis Models,"Ashkan Khakzar, Sabrina Musatian, Jonas Buchberger, Icxel Valeriano Quiroz, Nikolaus Pinger, Soroosh Baselizadeh et al.",499-508,/chapter/10.1007/978-3-030-87199-4_47,2021
177,A Principled Approach to Failure Analysis and Model Repairment: Demonstration in Medical Imaging,"Thomas Henn, Yasukazu Sakamoto, ClÃ©ment Jacquet, Shunsuke Yoshizawa, Masamichi Andou, Stephen Tchen et al.",509-518,/chapter/10.1007/978-3-030-87199-4_48,2021
178,Using Causal Analysis for Conceptual Deep Learning Explanation,"Sumedha Singla, Stephen Wallace, Sofia Triantafillou, Kayhan Batmanghelich",519-528,/chapter/10.1007/978-3-030-87199-4_49,2021
179,A Spherical Convolutional Neural Network for White Matter Structure Imaging via dMRI,"Sara Sedlar, Abib Alimi, ThÃ©odore Papadopoulo, Rachid Deriche, Samuel Deslauriers-Gauthier",529-539,/chapter/10.1007/978-3-030-87199-4_50,2021
180,Sharpening Local Interpretable Model-Agnostic Explanations for Histopathology: Improved Understandability and Reliability,"Mara Graziani, Iam Palatnik de Sousa, Marley M. B. R. Vellasco, Eduardo Costa da Silva, Henning MÃ¼ller, Vincent Andrearczyk",540-549,/chapter/10.1007/978-3-030-87199-4_51,2021
181,Improving the Explainability of Skin Cancer Diagnosis Using CBIR,"Catarina Barata, Carlos Santiago",550-559,/chapter/10.1007/978-3-030-87199-4_52,2021
182,PAC Bayesian Performance Guarantees for Deep (Stochastic) Networks in Medical Imaging,"Anthony Sicilia, Xingchen Zhao, Anastasia Sosnovskikh, Seong Jae Hwang",560-570,/chapter/10.1007/978-3-030-87199-4_53,2021
183,Medical Matting: A New Perspective on Medical Segmentation with Uncertainty,"Lin Wang, Lie Ju, Donghao Zhang, Xin Wang, Wanji He, Yelin Huang et al.",573-583,/chapter/10.1007/978-3-030-87199-4_54,2021
184,Confidence-Aware Cascaded Network for Fetal Brain Segmentation on MR Images,"Xukun Zhang, Zhiming Cui, Changan Chen, Jie Wei, Jingjiao Lou, Wenxin Hu et al.",584-593,/chapter/10.1007/978-3-030-87199-4_55,2021
185,Orthogonal Ensemble Networks for Biomedical Image Segmentation,"Agostina J. Larrazabal, CÃ©sar MartÃ­nez, Jose Dolz, Enzo Ferrante",594-603,/chapter/10.1007/978-3-030-87199-4_56,2021
186,Learning to Predict Error for MRI Reconstruction,"Shi Hu, Nicola Pezzotti, Max Welling",604-613,/chapter/10.1007/978-3-030-87199-4_57,2021
187,Uncertainty-Guided Progressive GANs for Medical Image Translation,"Uddeshya Upadhyay, Yanbei Chen, Tobias Hepp, Sergios Gatidis, Zeynep Akata",614-624,/chapter/10.1007/978-3-030-87199-4_58,2021
188,Variational Topic Inference for Chest X-Ray Report Generation,"Ivona Najdenkoska, Xiantong Zhen, Marcel Worring, Ling Shao",625-635,/chapter/10.1007/978-3-030-87199-4_59,2021
189,Uncertainty Aware Deep Reinforcement Learning for Anatomical Landmark Detection in Medical Images,"James Browning, Micha Kornreich, Aubrey Chow, Jayashri Pawar, Li Zhang, Richard Herzog et al.",636-644,/chapter/10.1007/978-3-030-87199-4_60,2021
190,Medical Image Registration Based on Uncoupled Learning and Accumulative Enhancement,"Yucheng Shu, Hao Wang, Bin Xiao, Xiuli Bi, Weisheng Li",3-13,/chapter/10.1007/978-3-030-87202-1_1,2021
191,Atlas-based Segmentation of Intracochlear Anatomy in Metal Artifact Affected CT Images of the Ear with Co-trained Deep Neural Networks,"Jianing Wang, Dingjie Su, Yubo Fan, Srijata Chakravorti, Jack H. Noble, Benoit M. Dawant",14-23,/chapter/10.1007/978-3-030-87202-1_2,2021
192,Learning Unsupervised Parameter-Specific Affine Transformation for Medical Images Registration,"Xu Chen, Yanda Meng, Yitian Zhao, Rachel Williams, Srinivasa R. Vallabhaneni, Yalin Zheng",24-34,/chapter/10.1007/978-3-030-87202-1_3,2021
193,Conditional Deformable Image Registration with Convolutional Neural Network,"Tony C. W. Mok, Albert C. S. Chung",35-45,/chapter/10.1007/978-3-030-87202-1_4,2021
194,A Deep Discontinuity-Preserving Image Registration Network,"Xiang Chen, Yan Xia, Nishant Ravikumar, Alejandro F. Frangi",46-55,/chapter/10.1007/978-3-030-87202-1_5,2021
195,End-to-end Ultrasound Frame to Volume Registration,"Hengtao Guo, Xuanang Xu, Sheng Xu, Bradford J. Wood, Pingkun Yan",56-65,/chapter/10.1007/978-3-030-87202-1_6,2021
196,Cross-Modal Attention for MRI and Ultrasound Volume Registration,"Xinrui Song, Hengtao Guo, Xuanang Xu, Hanqing Chao, Sheng Xu, Baris Turkbey et al.",66-75,/chapter/10.1007/978-3-030-87202-1_7,2021
197,Bayesian Atlas Building with Hierarchical Priors for Subject-Specific Regularization,"Jian Wang, Miaomiao Zhang",76-86,/chapter/10.1007/978-3-030-87202-1_8,2021
198,SAME: Deformable Image Registration Based on Self-supervised Anatomical Embeddings,"Fengze Liu, Ke Yan, Adam P. Harrison, Dazhou Guo, Le Lu, Alan L. Yuille et al.",87-97,/chapter/10.1007/978-3-030-87202-1_9,2021
199,Weakly Supervised Registration of Prostate MRI and Histopathology Images,"Wei Shao, Indrani Bhattacharya, Simon J. C. Soerensen, Christian A. Kunder, Jeffrey B. Wang, Richard E. Fan et al.",98-107,/chapter/10.1007/978-3-030-87202-1_10,2021
200,4D-CBCT Registration with a FBCT-derived Plug-and-Play Feasibility Regularizer,"Yudi Sang, Dan Ruan",108-117,/chapter/10.1007/978-3-030-87202-1_11,2021
201,Unsupervised Diffeomorphic Surface Registration and Non-linear Modelling,"Balder Croquet, Daan Christiaens, Seth M. Weinberg, Michael Bronstein, Dirk Vandermeulen, Peter Claes",118-128,/chapter/10.1007/978-3-030-87202-1_12,2021
202,Learning Dual Transformer Network for Diffeomorphic Registration,"Yungeng Zhang, Yuru Pei, Hongbin Zha",129-138,/chapter/10.1007/978-3-030-87202-1_13,2021
203,Construction of Longitudinally Consistent 4D Infant Cerebellum Atlases Based on Deep Learning,"Liangjun Chen, Zhengwang Wu, Dan Hu, Yuchen Pei, Fenqiang Zhao, Yue Sun et al.",139-149,/chapter/10.1007/978-3-030-87202-1_14,2021
204,Nesterov Accelerated ADMM for Fast Diffeomorphic Image Registration,"Alexander Thorley, Xi Jia, Hyung Jin Chang, Boyang Liu, Karina Bunting, Victoria Stoll et al.",150-160,/chapter/10.1007/978-3-030-87202-1_15,2021
205,Spectral Embedding Approximation and Descriptor Learning for Craniofacial Volumetric Image Correspondence,"Diya Sun, Yungeng Zhang, Yuru Pei, Tianmin Xu, Hongbin Zha",161-170,/chapter/10.1007/978-3-030-87202-1_16,2021
206,A Deep Network for Joint Registration and Parcellation of Cortical Surfaces,"Fenqiang Zhao, Zhengwang Wu, Li Wang, Weili Lin, Shunren Xia, Gang Li et al.",171-181,/chapter/10.1007/978-3-030-87202-1_17,2021
207,4D-Foot: A Fully Automated Pipeline of Four-Dimensional Analysis of the Foot Bones Using Bi-plane X-Ray Video and CT,"Shuntaro Mizoe, Yoshito Otake, Takuma Miyamoto, Mazen Soufi, Satoko Nakao, Yasuhito Tanaka et al.",182-192,/chapter/10.1007/978-3-030-87202-1_18,2021
208,Equivariant Filters for Efficient Tracking in 3D Imaging,"Daniel Moyer, Esra Abaci Turk, P. Ellen Grant, William M. Wells, Polina Golland",193-202,/chapter/10.1007/978-3-030-87202-1_19,2021
209,Revisiting Iterative Highly Efficient Optimisation Schemes in Medical Image Registration,"Lasse Hansen, Mattias P. Heinrich",203-212,/chapter/10.1007/978-3-030-87202-1_20,2021
210,Multi-scale Neural ODEs for 3D Medical Image Registration,"Junshen Xu, Eric Z. Chen, Xiao Chen, Terrence Chen, Shanhui Sun",213-223,/chapter/10.1007/978-3-030-87202-1_21,2021
211,Self-supervised Generative Adversarial Network for Depth Estimation in Laparoscopic Images,"Baoru Huang, Jian-Qing Zheng, Anh Nguyen, David Tuch, Kunal Vyas, Stamatia Giannarou et al.",227-237,/chapter/10.1007/978-3-030-87202-1_22,2021
212,Personalized Respiratory Motion Model Using Conditional Generative Networks for MR-Guided Radiotherapy,"Liset VÃ¡zquez Romaguera, Tal Mezheritsky, Samuel Kadoury",238-248,/chapter/10.1007/978-3-030-87202-1_23,2021
213,Multimodal Sensing Guidewire for C-Arm Navigation with Random UV Enhanced Optical Sensors Using Spatio-Temporal Networks,"Andrei Svecic, Gilles Soulez, FrÃ©dÃ©ric Monet, Raman Kashyap, Samuel Kadoury",249-258,/chapter/10.1007/978-3-030-87202-1_24,2021
214,Image-to-Graph Convolutional Network for Deformable Shape Reconstruction from a Single Projection Image,"Megumi Nakao, Fei Tong, Mitsuhiro Nakamura, Tetsuya Matsuda",259-268,/chapter/10.1007/978-3-030-87202-1_25,2021
215,Class-Incremental Domain Adaptation with Smoothing and Calibration for Surgical Report Generation,"Mengya Xu, Mobarakol Islam, Chwee Ming Lim, Hongliang Ren",269-278,/chapter/10.1007/978-3-030-87202-1_26,2021
216,Real-Time Rotated Convolutional Descriptor for Surgical Environments,"Adam Schmidt, Septimiu E. Salcudean",279-289,/chapter/10.1007/978-3-030-87202-1_27,2021
217,Surgical Instruction Generation with Transformers,"Jinglu Zhang, Yinyu Nie, Jian Chang, Jian Jun Zhang",290-299,/chapter/10.1007/978-3-030-87202-1_28,2021
218,Adversarial Domain Feature Adaptation for Bronchoscopic Depth Estimation,"Mert Asim Karaoglu, Nikolas Brasch, Marijn Stollenga, Wolfgang Wein, Nassir Navab, Federico Tombari et al.",300-310,/chapter/10.1007/978-3-030-87202-1_29,2021
219,2.5D Thermometry Maps for MRI-Guided Tumor Ablation,"Julian Alpers, Daniel L. Reimert, Maximilian RÃ¶tzer, Thomas Gerlach, Marcel Gutberlet, Frank Wacker et al.",311-320,/chapter/10.1007/978-3-030-87202-1_30,2021
220,Detection of Critical Structures in Laparoscopic Cholecystectomy Using Label Relaxation and Self-supervision,"David Owen, Maria Grammatikopoulou, Imanol Luengo, Danail Stoyanov",321-330,/chapter/10.1007/978-3-030-87202-1_31,2021
221,EMDQ-SLAM: Real-Time High-Resolution Reconstruction of Soft Tissue Surface from Stereo Laparoscopy Videos,"Haoyin Zhou, Jagadeesan Jayender",331-340,/chapter/10.1007/978-3-030-87202-1_32,2021
222,Efficient Global-Local Memory for Real-Time Instrument Segmentation of Robotic Surgical Video,"Jiacheng Wang, Yueming Jin, Liansheng Wang, Shuntian Cai, Pheng-Ann Heng, Jing Qin",341-351,/chapter/10.1007/978-3-030-87202-1_33,2021
223,C-Arm Positioning for Spinal Standard Projections in Different Intra-operative Settings,"Lisa Kausch, Sarina Thomas, Holger Kunze, Tobias Norajitra, AndrÃ© Klein, Jan Siad El Barbari et al.",352-362,/chapter/10.1007/978-3-030-87202-1_34,2021
224,Quantitative Assessments for Ultrasound Probe Calibration,"Elvis C. S. Chen, Burton Ma, Terry M. Peters",363-372,/chapter/10.1007/978-3-030-87202-1_35,2021
225,Intra-operative Update of Boundary Conditions for Patient-Specific Surgical Simulation,"Eleonora Tagliabue, Marco Piccinelli, Diego Dallâ€™Alba, Juan Verde, Micha Pfeiffer, Riccardo Marin et al.",373-382,/chapter/10.1007/978-3-030-87202-1_36,2021
226,Deep Iterative 2D/3D Registration,"Srikrishna Jaganathan, Jian Wang, Anja Borsdorf, Karthik Shetty, Andreas Maier",383-392,/chapter/10.1007/978-3-030-87202-1_37,2021
227,Equivariant Filters for Efficient Tracking in 3D Imaging,"Daniel Moyer, Esra Abaci Turk, P. Ellen Grant, William M. Wells, Polina Golland",193-202,/chapter/10.1007/978-3-030-87202-1_19,2021
228,Revisiting Iterative Highly Efficient Optimisation Schemes in Medical Image Registration,"Lasse Hansen, Mattias P. Heinrich",203-212,/chapter/10.1007/978-3-030-87202-1_20,2021
229,Multi-scale Neural ODEs for 3D Medical Image Registration,"Junshen Xu, Eric Z. Chen, Xiao Chen, Terrence Chen, Shanhui Sun",213-223,/chapter/10.1007/978-3-030-87202-1_21,2021
230,Self-supervised Generative Adversarial Network for Depth Estimation in Laparoscopic Images,"Baoru Huang, Jian-Qing Zheng, Anh Nguyen, David Tuch, Kunal Vyas, Stamatia Giannarou et al.",227-237,/chapter/10.1007/978-3-030-87202-1_22,2021
231,Personalized Respiratory Motion Model Using Conditional Generative Networks for MR-Guided Radiotherapy,"Liset VÃ¡zquez Romaguera, Tal Mezheritsky, Samuel Kadoury",238-248,/chapter/10.1007/978-3-030-87202-1_23,2021
232,Multimodal Sensing Guidewire for C-Arm Navigation with Random UV Enhanced Optical Sensors Using Spatio-Temporal Networks,"Andrei Svecic, Gilles Soulez, FrÃ©dÃ©ric Monet, Raman Kashyap, Samuel Kadoury",249-258,/chapter/10.1007/978-3-030-87202-1_24,2021
233,Image-to-Graph Convolutional Network for Deformable Shape Reconstruction from a Single Projection Image,"Megumi Nakao, Fei Tong, Mitsuhiro Nakamura, Tetsuya Matsuda",259-268,/chapter/10.1007/978-3-030-87202-1_25,2021
234,Class-Incremental Domain Adaptation with Smoothing and Calibration for Surgical Report Generation,"Mengya Xu, Mobarakol Islam, Chwee Ming Lim, Hongliang Ren",269-278,/chapter/10.1007/978-3-030-87202-1_26,2021
235,Real-Time Rotated Convolutional Descriptor for Surgical Environments,"Adam Schmidt, Septimiu E. Salcudean",279-289,/chapter/10.1007/978-3-030-87202-1_27,2021
236,Surgical Instruction Generation with Transformers,"Jinglu Zhang, Yinyu Nie, Jian Chang, Jian Jun Zhang",290-299,/chapter/10.1007/978-3-030-87202-1_28,2021
237,Adversarial Domain Feature Adaptation for Bronchoscopic Depth Estimation,"Mert Asim Karaoglu, Nikolas Brasch, Marijn Stollenga, Wolfgang Wein, Nassir Navab, Federico Tombari et al.",300-310,/chapter/10.1007/978-3-030-87202-1_29,2021
238,2.5D Thermometry Maps for MRI-Guided Tumor Ablation,"Julian Alpers, Daniel L. Reimert, Maximilian RÃ¶tzer, Thomas Gerlach, Marcel Gutberlet, Frank Wacker et al.",311-320,/chapter/10.1007/978-3-030-87202-1_30,2021
239,Detection of Critical Structures in Laparoscopic Cholecystectomy Using Label Relaxation and Self-supervision,"David Owen, Maria Grammatikopoulou, Imanol Luengo, Danail Stoyanov",321-330,/chapter/10.1007/978-3-030-87202-1_31,2021
240,EMDQ-SLAM: Real-Time High-Resolution Reconstruction of Soft Tissue Surface from Stereo Laparoscopy Videos,"Haoyin Zhou, Jagadeesan Jayender",331-340,/chapter/10.1007/978-3-030-87202-1_32,2021
241,Efficient Global-Local Memory for Real-Time Instrument Segmentation of Robotic Surgical Video,"Jiacheng Wang, Yueming Jin, Liansheng Wang, Shuntian Cai, Pheng-Ann Heng, Jing Qin",341-351,/chapter/10.1007/978-3-030-87202-1_33,2021
242,C-Arm Positioning for Spinal Standard Projections in Different Intra-operative Settings,"Lisa Kausch, Sarina Thomas, Holger Kunze, Tobias Norajitra, AndrÃ© Klein, Jan Siad El Barbari et al.",352-362,/chapter/10.1007/978-3-030-87202-1_34,2021
243,Quantitative Assessments for Ultrasound Probe Calibration,"Elvis C. S. Chen, Burton Ma, Terry M. Peters",363-372,/chapter/10.1007/978-3-030-87202-1_35,2021
